image_id,split,class_id,class_name,image_path,bbox_cx,bbox_cy,bbox_w,bbox_h,left_shoulder_x,left_shoulder_y,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_vis,left_eye_x,left_eye_y,left_eye_vis,left_ear_x,left_ear_y,left_ear_vis,nose_x,nose_y,nose_vis,right_ear_x,right_ear_y,right_ear_vis,right_eye_x,right_eye_y,right_eye_vis
ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b,train,4,thang,train\images\ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b.jpg,0.52052515625,0.4257269444444445,0.40308085937500004,0.7585422222222222,0.366274765625,0.6290640277777778,2,0.684775625,0.6167484722222222,2,0.44054304687499996,0.34530791666666666,2,0.47981953125,0.2976197222222222,2,0.516798515625,0.35950819444444443,2,0.55321390625,0.29627041666666665,2,0.58398,0.3395259722222222,2
ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d,train,4,thang,train\images\ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d.jpg,0.530372109375,0.40247611111111103,0.410400390625,0.7255873611111111,0.363525390625,0.6362615277777778,2,0.684575859375,0.6129951388888889,2,0.440525625,0.35518194444444445,2,0.4791434375,0.2981693055555556,2,0.51786390625,0.3635377777777778,2,0.556178515625,0.296875,2,0.587816484375,0.33815416666666664,2
ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9,train,4,thang,train\images\ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9.jpg,0.534171640625,0.44489263888888886,0.4090625000000001,0.7651011111111111,0.355854375,0.6409900000000001,2,0.6815740625,0.6295425,2,0.42642609374999996,0.35849180555555554,2,0.46392609374999993,0.30137458333333333,2,0.50231890625,0.36007833333333333,2,0.539818984375,0.29344166666666666,2,0.570176015625,0.3362794444444444,2
ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81,train,4,thang,train\images\ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81.jpg,0.51986109375,0.4585238888888889,0.39802203125,0.8543686111111113,0.369010234375,0.633433888888889,2,0.680417109375,0.6227411111111111,2,0.43803398437499996,0.34576125,2,0.478604375,0.29520305555555554,2,0.51771,0.36260638888888885,2,0.5508425781249999,0.2938219444444444,2,0.5847640625,0.34295375,2
ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195,train,4,thang,train\images\ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195.jpg,0.51477796875,0.44900958333333335,0.400780625,0.8008937500000001,0.35726929687500003,0.6467013888888888,2,0.6811384375,0.6266719444444444,2,0.43926999999999994,0.3443961111111111,2,0.481511328125,0.29716611111111113,2,0.517225625,0.36062972222222217,2,0.55204703125,0.29716611111111113,2,0.587761328125,0.34159069444444445,2
ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675,train,4,thang,train\images\ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675.jpg,0.5436384375000001,0.29176277777777776,0.00022320312499992667,0.0013826388888888788,0.5435768123947812,0.29184191872427984,2,0.5436718803924664,0.2918489017489712,2,0.5435753093434343,0.2915998405349794,2,0.5436128856271044,0.29132750257201645,2,0.5436395647885102,0.29151837191358027,2,0.5436763895465068,0.29127163837448555,2,0.5436996875,0.29157652777777776,2
ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d,train,4,thang,train\images\ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d.jpg,0.5287665625,0.44010263888888895,0.42770867187500006,0.8174429166666667,0.36762859375,0.6350911111111112,2,0.6829556250000001,0.6172416666666667,2,0.440400625,0.34346666666666664,2,0.47826640625000005,0.2985461111111111,2,0.515343359375,0.3603118055555556,2,0.5523487499999999,0.29766902777777776,2,0.588708359375,0.34206277777777777,2
ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f,train,4,thang,train\images\ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f.jpg,0.528452890625,0.4060552777777779,0.4149658593749999,0.7457513888888889,0.371315703125,0.6382180555555556,2,0.682861328125,0.6182133333333334,2,0.43932046874999997,0.34856875000000004,2,0.478763984375,0.29522569444444446,2,0.518207578125,0.36260638888888885,2,0.55370671875,0.29522569444444446,2,0.586050390625,0.33733861111111113,2
ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa,train,4,thang,train\images\ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa.jpg,0.523327421875,0.46572152777777787,0.38607234375000005,0.8867693055555554,0.3625,0.6295965277777777,2,0.68496703125,0.6082061111111111,2,0.4395003125,0.3415502777777778,2,0.48203625,0.2919379166666667,2,0.51875,0.3659494444444445,2,0.550892890625,0.2976552777777778,2,0.5879378125,0.34314819444444444,2
ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd,train,4,thang,train\images\ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd.jpg,0.530164140625,0.41724236111111107,0.40931460937499986,0.7277229166666666,0.374550546875,0.6309383333333334,2,0.675029375,0.6188545833333333,2,0.4375,0.3463981944444444,2,0.479464296875,0.2908675,2,0.517857109375,0.36385069444444446,2,0.551785703125,0.2972138888888889,2,0.5875,0.3368786111111111,2
