split,image_id,filename,relative_path,width,height,file_size_bytes,sha256,dhash64,brightness_mean,edge_variance,is_corrupt,has_annotation,annotation_count,error
test,0,image_20241010_170701_jpg.rf.49fdc76dca86b56ced0aaeb90d08d15c.jpg,test/image_20241010_170701_jpg.rf.49fdc76dca86b56ced0aaeb90d08d15c.jpg,640,640,38549,cd492a0d441040453be085fa04f6078c96b97db6697aa0295fc6a9c958bdce1c,9298d0c1c1e5c023,104.1759,518.5316,False,True,1,
test,1,good_posture_20241013_222709_png.rf.386ecd5c794be23aae3e99047f519f92.jpg,test/good_posture_20241013_222709_png.rf.386ecd5c794be23aae3e99047f519f92.jpg,640,640,33238,6def5fa298e00642701242a800b819e838f9e86e3f33efe3f680abad79da2f68,d8dce0e0632c1607,60.3308,298.9674,False,True,1,
test,2,bad_posture_20241021_144934_png.rf.1681bacbb1c8a2a85bebce05970e8df7.jpg,test/bad_posture_20241021_144934_png.rf.1681bacbb1c8a2a85bebce05970e8df7.jpg,640,640,33676,01032fabc5757317f4c363277794d57b7a34ad381f88d4d6d59180734363dd05,83b7cf0e31bbb48f,134.5127,508.5868,False,True,1,
test,3,image_20241007_210806_jpg.rf.4ceb030c1b5cc5636214465aaaabda90.jpg,test/image_20241007_210806_jpg.rf.4ceb030c1b5cc5636214465aaaabda90.jpg,640,640,35328,b179622f8db982be088274f108c7afa8951e8cb121e27d20ca114621bb116c22,b4343031380c15cd,83.0159,505.8421,False,True,1,
test,4,image_20241007_225721_jpg.rf.ec0e896adc125d807a5b6672333205ef.jpg,test/image_20241007_225721_jpg.rf.ec0e896adc125d807a5b6672333205ef.jpg,640,640,36160,b5de74bb357482af30a6dd66c37702f104ed47accecec28d6f17225303798ab6,a4b43031332f8585,83.685,580.5463,False,True,1,
test,5,bad_posture_20241021_142354_png.rf.910bcb6597e9df7893db256e36faa67d.jpg,test/bad_posture_20241021_142354_png.rf.910bcb6597e9df7893db256e36faa67d.jpg,640,640,31507,0fe7545b85e29dae84d04c9f6af64e95c829e093e3c71bae35313c4531884873,8387efce98898f9f,135.1161,442.0937,False,True,1,
test,6,bad_posture_20241021_145524_png.rf.9b06e38e78350843b6ef4344258ab5fb.jpg,test/bad_posture_20241021_145524_png.rf.9b06e38e78350843b6ef4344258ab5fb.jpg,640,640,32492,9c2ff6bee9c47704e511adb851b2ec59f46635c73ab7cdd2fe335e471b164f79,83b3cfcc99918d0f,130.6041,441.4178,False,True,1,
test,7,bad_posture_20241021_142701_png.rf.671d36bfb00dce753d083e2a6d0f8a37.jpg,test/bad_posture_20241021_142701_png.rf.671d36bfb00dce753d083e2a6d0f8a37.jpg,640,640,31843,f524a40ffe91f688a438f18eea02b59744501605d4185c1ee4b9c510912bffee,82afcfce99898f9f,132.0541,451.4147,False,True,1,
test,8,bad_posture_20241021_144526_png.rf.14bcfa158ef2885700810367bf39be4a.jpg,test/bad_posture_20241021_144526_png.rf.14bcfa158ef2885700810367bf39be4a.jpg,640,640,31410,88bc4f37ad60da2658214717ef00966bde0eeb8b0be3ef65284aca3e62348e52,83b3cf8c99998d9e,133.9879,460.9065,False,True,1,
test,9,image_20241008_200500_jpg.rf.a3e1abe37c7047be08fd3db08c3982c7.jpg,test/image_20241008_200500_jpg.rf.a3e1abe37c7047be08fd3db08c3982c7.jpg,640,640,37194,bb74972be5d66c6997cd003951390183fd52cb1004851c33a697728821f2da4e,b4b4b031f9264764,83.2048,576.2414,False,True,1,
test,10,bad_posture_20241013_222749_png.rf.1a6f8d4d825c94003cd061a799ceaaa9.jpg,test/bad_posture_20241013_222749_png.rf.1a6f8d4d825c94003cd061a799ceaaa9.jpg,640,640,32923,679be9bb74ef49281c590fb195e31d72626b621a5970f833324c165b297277f8,cccccce8624c3627,59.6486,297.766,False,True,1,
test,11,image_20241008_200613_jpg.rf.531a35da0b7cda2b9dfc66866d3c6fb3.jpg,test/image_20241008_200613_jpg.rf.531a35da0b7cda2b9dfc66866d3c6fb3.jpg,640,640,36560,1429875c2cb3eff189980c6bbf4c2fe908f4bed7f9dba0e58fafb230a1c24b7d,949898b131264764,84.2408,545.024,False,True,1,
test,12,bad_posture_20241021_145205_png.rf.f14d47aa70fa3f230e09d869e2c344a7.jpg,test/bad_posture_20241021_145205_png.rf.f14d47aa70fa3f230e09d869e2c344a7.jpg,640,640,31326,acaba7b10e61edfb69e32ff915b0c3d3554c8c3bb936877fa7ba33ad3d7eca2c,83c6cbc38b898d3f,132.1301,468.77,False,True,1,
test,13,bad_posture_20241021_143452_png.rf.d349c06e3ff26ad1e62826b0276ed52a.jpg,test/bad_posture_20241021_143452_png.rf.d349c06e3ff26ad1e62826b0276ed52a.jpg,640,640,31854,98f1016ade93e44b60a74e0ec9c62f97cf6daa245ea362bf4d4e236c70c68bd6,83b2cfcb9a8d999f,131.6229,441.3622,False,True,1,
test,14,bad_posture_20241012_174220_png.rf.9ddba68fb2504d13324bdff2612f9126.jpg,test/bad_posture_20241012_174220_png.rf.9ddba68fb2504d13324bdff2612f9126.jpg,640,640,40524,c23bef00c02f45505ec9c45761625d03af04b3c081dd23c373cf9fc9ce0f9024,309c985888dec603,134.5237,703.0653,False,True,1,
test,15,good_posture_20241012_174159_png.rf.0d2d05bc40b1e26ce482756ee7891799.jpg,test/good_posture_20241012_174159_png.rf.0d2d05bc40b1e26ce482756ee7891799.jpg,640,640,40919,09fadd7036bbf1367a251b99a7a89707862f20a513b66974f1d5535adb2ca67e,303838d098f6c603,136.1135,709.3688,False,True,1,
test,16,image_20241010_170835_jpg.rf.c0e054dabafb7192e9e79e142bc33cde.jpg,test/image_20241010_170835_jpg.rf.c0e054dabafb7192e9e79e142bc33cde.jpg,640,640,38646,ad4c8494e72bf9862a6390b2e16bdc097eaef9e788b306cfcf97dca9b5e887ed,9a98c0e1c3e6a063,102.7941,508.813,False,True,1,
