type,distance,split_a,path_a,split_b,path_b,note
near_duplicate,0,train,train/good_posture_20241013_222738_png.rf.008882c9aa85b771e709a46d49a626f6.jpg,valid,valid/good_posture_20241013_222734_png.rf.c882b3e33ab8c95e4a8d58d07af8a314.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241013_222728_png.rf.07307dbb63313f0c7bf4b3ceb5fad78b.jpg,valid,valid/good_posture_20241013_222743_png.rf.f5da25a3abd019a0ff4cbbbd784f5649.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241021_141536_png.rf.10abc6f80a2023fd6d396fb5fa39faf9.jpg,valid,valid/good_posture_20241021_142010_png.rf.8f12abe2470a4c3f37a02c14c0ccf11b.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241013_222738_png.rf.29a0f3857680447eeb2d8ee58e2ed27a.jpg,valid,valid/good_posture_20241013_222734_png.rf.c882b3e33ab8c95e4a8d58d07af8a314.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241013_225738_png.rf.2d1e4913b095c6c59009f39c339495c9.jpg,valid,valid/good_posture_20241013_225739_png.rf.e4c5481075e5e649548b013cf633be49.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241013_222741_png.rf.3965b00d5d1cbce84957ffe611485af4.jpg,valid,valid/good_posture_20241013_222743_png.rf.f5da25a3abd019a0ff4cbbbd784f5649.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241013_225738_png.rf.49dde5bf40504ae348c3d05d4a75d82f.jpg,valid,valid/good_posture_20241013_225739_png.rf.e4c5481075e5e649548b013cf633be49.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241013_222738_png.rf.802542d1e3ce772121b5f1a8143e063c.jpg,valid,valid/good_posture_20241013_222734_png.rf.c882b3e33ab8c95e4a8d58d07af8a314.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241013_225738_png.rf.ac158a0554f2be5d2e167894b04b1633.jpg,valid,valid/good_posture_20241013_225739_png.rf.e4c5481075e5e649548b013cf633be49.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,train,train/good_posture_20241013_222655_png.rf.a4d29e82da2c880dd6cbdd2a561f72ee.jpg,valid,valid/good_posture_20241013_222654_png.rf.01b75b5b10d5ac421515108d868dd143.jpg,Near duplicate muncul pada split berbeda
