image_id,original_split,class_name,nd_group,img_width,img_height,bbox_x,bbox_y,bbox_w,bbox_h,brightness,is_dark,has_annotation,num_annotations,annotation_id,split
sipotion_1749650550988_leaning_forward_0_68_jpg.rf.74c604a1b3da097a0be1a2d0b0d5fcf1.jpg,train,slouch,SINGLE_sipotion_1749650550988_leaning_forward_0_68_jpg.rf.74c604a1b3da097a0be1a2d0b0d5fcf1.jpg,640,640,0.297922,0.214578,0.45,0.611453,123.67,False,True,1,1,valid
48ddae6c1833765180cf4a91f937114c_jpg.rf.016d0edf96f5644b422bddb625e42b77.jpg,train,leaning_forward,SINGLE_48ddae6c1833765180cf4a91f937114c_jpg.rf.016d0edf96f5644b422bddb625e42b77.jpg,426,640,0.102066,0.234,0.51939,0.5565,151.28,False,True,1,2,train
sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,train,good_posture,ND_0009,640,640,0.473953,0.478125,0.201047,0.479172,119.22,False,True,2,3,train
sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,train,leaning_backward,ND_0009,640,640,0.0,0.329172,0.18125,0.280203,119.22,False,True,2,4,train
b9c5f3e637dc92a1919e6e96fe2b5ee2_jpg.rf.0df0aed15163cbef693e69b4bb435eff.jpg,train,leaning_backward,SINGLE_b9c5f3e637dc92a1919e6e96fe2b5ee2_jpg.rf.0df0aed15163cbef693e69b4bb435eff.jpg,426,640,0.189577,0.234125,0.722559,0.692984,178.67,False,True,1,5,train
sipotion_1749650402977_leaning_forward_0_93_jpg.rf.4afa8c96c80163e9e8c54209af77a6ef.jpg,train,leaning_forward,SINGLE_sipotion_1749650402977_leaning_forward_0_93_jpg.rf.4afa8c96c80163e9e8c54209af77a6ef.jpg,640,640,0.397922,0.284375,0.414578,0.486453,94.44,False,True,1,6,train
sipotion_1749658455036_slouch_0_43_jpg.rf.feaa278ef66d6681eced3afb003db418.jpg,train,good_posture,SINGLE_sipotion_1749658455036_slouch_0_43_jpg.rf.feaa278ef66d6681eced3afb003db418.jpg,640,640,0.114578,0.101047,0.5625,0.854172,146.74,False,True,1,7,valid
sipotion_1749658795005_good_posture_0_45_jpg.rf.754a0c9e4cb6913e56457ffbfdf289e3.jpg,train,leaning_forward,ND_0010,640,640,0.286453,0.20625,0.396875,0.767703,119.54,False,True,1,8,train
03fd679809fc70b36daa038971206388_jpg.rf.83d0514e701009e74ea2628483d290f5.jpg,train,leaning_backward,SINGLE_03fd679809fc70b36daa038971206388_jpg.rf.83d0514e701009e74ea2628483d290f5.jpg,451,640,0.116918,0.215,0.783925,0.609891,187.24,False,True,1,9,train
sipotion_1749637011586_leaning_forward_0_45_jpg.rf.c46232a3c6bac0f11852d935cd1d735c.jpg,train,leaning_backward,SINGLE_sipotion_1749637011586_leaning_forward_0_45_jpg.rf.c46232a3c6bac0f11852d935cd1d735c.jpg,640,640,0.361453,0.152078,0.270828,0.46875,130.31,False,True,1,10,train
sipotion_1749658179885_leaning_backward_0_77_jpg.rf.65451d09227f37d20855036a157850fb.jpg,train,leaning_backward,SINGLE_sipotion_1749658179885_leaning_backward_0_77_jpg.rf.65451d09227f37d20855036a157850fb.jpg,640,640,0.25,0.183328,0.748953,0.7875,138.11,False,True,1,11,valid
