image_id,split,nd_group,original_split,num_annotations,is_dark
0138e93a957e274905ea6c2ed2d4042d_jpg.rf.601de128185a0d950a6067ad646f88c8.jpg,train,SINGLE_0138e93a957e274905ea6c2ed2d4042d_jpg.rf.601de128185a0d950a6067ad646f88c8.jpg,train,10,False
01b17ea7357cadd6243eed9d48ea58b4_jpg.rf.c37de5a02dd949a6c86b89d654466d1c.jpg,train,SINGLE_01b17ea7357cadd6243eed9d48ea58b4_jpg.rf.c37de5a02dd949a6c86b89d654466d1c.jpg,train,1,False
0274eea195802ee11fe9cb42d744a3a5-Copy_jpg.rf.c92ebb2bbd2526dcb66083afc4d57378.jpg,valid,SINGLE_0274eea195802ee11fe9cb42d744a3a5-Copy_jpg.rf.c92ebb2bbd2526dcb66083afc4d57378.jpg,test,1,False
036894bc9625960d01fc04bcf5d663b6_jpg.rf.50bf05257130edb096b8696be46d0af0.jpg,train,SINGLE_036894bc9625960d01fc04bcf5d663b6_jpg.rf.50bf05257130edb096b8696be46d0af0.jpg,train,1,False
038d8139e2ed9526260fd48f2089435d_jpg.rf.b8c055f5ffdcd0dc2e1f01bfd0f6a818.jpg,train,SINGLE_038d8139e2ed9526260fd48f2089435d_jpg.rf.b8c055f5ffdcd0dc2e1f01bfd0f6a818.jpg,valid,1,False
03c40be672e90af46fb59496c8034b57-Copy-2-_jpg.rf.b1c852f6b38cfa74ecc8c7d934917622.jpg,valid,SINGLE_03c40be672e90af46fb59496c8034b57-Copy-2-_jpg.rf.b1c852f6b38cfa74ecc8c7d934917622.jpg,valid,1,False
03c69ace93f40e3e724ba009796000d0_jpg.rf.acacafab75f564e99cb409520e38ebef.jpg,train,SINGLE_03c69ace93f40e3e724ba009796000d0_jpg.rf.acacafab75f564e99cb409520e38ebef.jpg,valid,1,False
03fd679809fc70b36daa038971206388_jpg.rf.83d0514e701009e74ea2628483d290f5.jpg,train,SINGLE_03fd679809fc70b36daa038971206388_jpg.rf.83d0514e701009e74ea2628483d290f5.jpg,train,1,False
044d4a352fdddb2cea89f8d96f2d0774-Copy_jpg.rf.20b025133f2be8c931963fa0261588ee.jpg,train,SINGLE_044d4a352fdddb2cea89f8d96f2d0774-Copy_jpg.rf.20b025133f2be8c931963fa0261588ee.jpg,train,1,False
07682242a71b0f05da9a31a4f5a473f7_jpg.rf.47164d522c552bca44190e5b5b1afce2.jpg,train,SINGLE_07682242a71b0f05da9a31a4f5a473f7_jpg.rf.47164d522c552bca44190e5b5b1afce2.jpg,test,7,False
07c82ef97039dc0302cb5dfd1f4cb413_jpg.rf.d97c4c03daec059b46ff8cdad7f1b4dc.jpg,train,SINGLE_07c82ef97039dc0302cb5dfd1f4cb413_jpg.rf.d97c4c03daec059b46ff8cdad7f1b4dc.jpg,train,1,False
07da296c0d7ed298ef1adc0a1ad22a47_jpg.rf.e9a1e17deaa92800e1f4cb8499f7776e.jpg,test,SINGLE_07da296c0d7ed298ef1adc0a1ad22a47_jpg.rf.e9a1e17deaa92800e1f4cb8499f7776e.jpg,test,1,False
08dc77d43e6397ad35d0c0ac48a08dc5_jpg.rf.07cabfd761ce6fac3c3c61e1c87dd9ac.jpg,train,SINGLE_08dc77d43e6397ad35d0c0ac48a08dc5_jpg.rf.07cabfd761ce6fac3c3c61e1c87dd9ac.jpg,train,1,False
