image_id,split,class_name,nd_group,original_split
bad_posture_20241021_142856_png.rf.d63238b8aa0715cda8e88f5ecaef0e2f.jpg,train,Bad,ND_GROUP_0001,train
good_posture_20241013_222712_png.rf.d4260da6ca2e54e87b93742653249b2b.jpg,train,Good,ND_GROUP_0008,train
bad_posture_20241013_225750_png.rf.daa920390fdfc539db263e20cfef43ef.jpg,train,Bad,ND_GROUP_0000,train
bad_posture_20241021_142448_png.rf.d33dd9f9f893e9afb7e761de880c9371.jpg,train,Bad,ND_GROUP_0001,train
bad_posture_20241013_225714_png.rf.d2c1738f716f13eb44311e3ea1d89477.jpg,test,Bad,ND_GROUP_0002,train
image_20241008_203730_jpg.rf.db22bb8d251335e4b0098ff677b77b70.jpg,valid,Bad,ND_GROUP_0048,train
good_posture_20241021_141536_png.rf.d3f0e943b02c7be763e6cf54d93d567f.jpg,train,Good,ND_GROUP_0003,train
good_posture_20241013_225734_png.rf.d9808e2e835c5aa353fe9631a6258afb.jpg,test,Good,ND_GROUP_0059,train
good_posture_20241021_141341_png.rf.d8f8602154db4e80d92f4cd2f119a846.jpg,train,Good,ND_GROUP_0003,train
bad_posture_20241021_143008_png.rf.d9c1ef0798864f8bfa499de7693cc403.jpg,train,Bad,ND_GROUP_0001,train
good_posture_20241021_142342_png.rf.d7977438f1a429a0c4f3e34cd03074e1.jpg,train,Good,ND_GROUP_0001,train
good_posture_20241021_144124_png.rf.d1fc5160ed82325c329aaaf90ef09fd4.jpg,train,Good,ND_GROUP_0046,train
bad_posture_20241021_142856_png.rf.d4683811d3b2e345171fee3e044ee2f0.jpg,train,Bad,ND_GROUP_0001,train
image_20241008_200913_jpg.rf.d5692304206ef908694a131f59cd4ce7.jpg,test,Bad,ND_GROUP_0004,train
good_posture_20241013_225742_png.rf.d33f51690b5f0b8d693c2cd787bf8808.jpg,valid,Good,ND_GROUP_0005,train
good_posture_20241021_180607_png.rf.d0e2520a5d55463255fdbfe0196973f3.jpg,train,Good,ND_GROUP_0006,train
bad_posture_20241021_180513_png.rf.d84928495a9e069e0b719fb4b2f83f4e.jpg,train,Bad,ND_GROUP_0060,train
good_posture_20241021_141454_png.rf.d7da762e5bde110e2e736c424fdbbd03.jpg,train,Good,ND_GROUP_0003,train
bad_posture_20241021_143227_png.rf.d47fb2984e45e06df89cca454d075518.jpg,train,Bad,ND_GROUP_0001,train
good_posture_20241021_142318_png.rf.d9232b17db88f20ba4907f59d38abb25.jpg,train,Good,ND_GROUP_0046,train
good_posture_20241021_142330_png.rf.d4be117b0eb5892d616618a89a77bf6f.jpg,train,Good,ND_GROUP_0001,train
image_20241007_215802_jpg.rf.dbdb54ba63ed92b744009950b4bdbff8.jpg,valid,Good,ND_GROUP_0007,train
bad_posture_20241021_144100_png.rf.d6f4e4bdff8b3b8caac4a51b8ef9f50c.jpg,train,Bad,ND_GROUP_0001,train
bad_posture_20241021_143948_png.rf.d48d2917df4c400c127a1435cc580624.jpg,train,Bad,ND_GROUP_0001,train
good_posture_20241021_141630_png.rf.d6b3a72f5d321b47ddcd7ae9b33ab2af.jpg,train,Good,ND_GROUP_0003,train
image_20241009_224730_jpg.rf.dc5962d0a6506d889d394912c37c2831.jpg,test,Good,ND_GROUP_0061,train
image_20241009_224235_jpg.rf.dcb0c6c6bf6276f47836883b24387513.jpg,train,Bad,ND_GROUP_0042,train
image_20241009_143702_jpg.rf.dd4731183ae5628a64ed6244dbb55b48.jpg,valid,Bad,ND_GROUP_0054,train
good_posture_20241013_222757_png.rf.dde627f4ad54320fb1a7f1f6755e0fb3.jpg,train,Good,ND_GROUP_0008,train
bad_posture_20241021_143008_png.rf.e4219080ea89fe4c65fce8c779f2a3f4.jpg,train,Bad,ND_GROUP_0001,train
good_posture_20241021_142153_png.rf.e06a2ffac509cb1cc9c1a852ace0cdb6.jpg,train,Good,ND_GROUP_0001,train
bad_posture_20241021_142555_png.rf.e313463ebdee7eea418ec43162fcd683.jpg,train,Bad,ND_GROUP_0001,train
good_posture_20241013_225737_png.rf.e1c15d7f07506d6650761e065d27409d.jpg,valid,Good,ND_GROUP_0009,train
image_20241008_201334_jpg.rf.e742353a85cfddcbe8cb5bd96c8db275.jpg,valid,Good,ND_GROUP_0034,train
good_posture_20241012_174139_png.rf.e820667afa93896a51f53c1dfc11f41d.jpg,train,Good,ND_GROUP_0010,train
bad_posture_20241013_222600_png.rf.e3bbbd81cbad152f54f470ee95ffdd17.jpg,train,Bad,ND_GROUP_0058,train
good_posture_20241021_180549_png.rf.df4763572605f1adce89580b52af8c75.jpg,train,Good,ND_GROUP_0006,train
bad_posture_20241021_143245_png.rf.e182e517d8fbba0a6f1da3597693b1b9.jpg,train,Bad,ND_GROUP_0001,train
image_20241008_205601_jpg.rf.dfbb727b39a24d63a7339b8458c76403.jpg,test,Good,ND_GROUP_0011,train
image_20241007_215802_jpg.rf.e5a92a843b04789f63bab3bca2dfcbfb.jpg,valid,Good,ND_GROUP_0007,train
image_20241009_225822_jpg.rf.de5e20aaab1341db95b6df0ffb16cd6d.jpg,train,Bad,ND_GROUP_0012,train
bad_posture_20241021_180437_png.rf.dc6b37401fc09622a7a83ca31f0d00e7.jpg,train,Bad,ND_GROUP_0013,train
good_posture_20241021_142205_png.rf.e6b1271d5b97553fd11b79e8f6a7fd46.jpg,train,Good,ND_GROUP_0001,train
bad_posture_20241021_143853_png.rf.e3d52257219aede77d89bfbcd6f43220.jpg,train,Bad,ND_GROUP_0001,train
image_20241008_210224_jpg.rf.de71181b87b246d9e5938dd0950cf09e.jpg,test,Bad,ND_GROUP_0014,train
bad_posture_20241012_173243_png.rf.e7f0383f72da060d1eef964fc5aa463e.jpg,test,Bad,ND_GROUP_0015,train
image_20241008_205202_jpg.rf.e1740bbe1c03691d901528cd9ef4dce9.jpg,valid,Good,ND_GROUP_0016,train
bad_posture_20241013_222740_png.rf.e8c8ca5209b2a23b87dcf419aaac4a21.jpg,train,Bad,ND_GROUP_0008,train
bad_posture_20241021_142555_png.rf.e556ca0952c2259fb392b373fdc479ba.jpg,train,Bad,ND_GROUP_0001,train
bad_posture_20241013_221218_png.rf.e5217e924397ca5e2727880291313b91.jpg,train,Bad,ND_GROUP_0032,train
image_20241008_200801_jpg.rf.de40fa9292fbeb3b79a1e2390e71ce3a.jpg,train,Good,ND_GROUP_0017,train
bad_posture_20241021_144118_png.rf.ece80e777476ee0de4a99a37680eabf6.jpg,train,Good,ND_GROUP_0046,train
bad_posture_20241012_173121_png.rf.ec6ba94e66b786a035b8fbe653a089b3.jpg,train,Bad,ND_GROUP_0018,train
bad_posture_20241021_143641_png.rf.ea6c252145d940577205cc91e4374c22.jpg,train,Bad,ND_GROUP_0001,train
good_posture_20241021_142159_png.rf.f1fa4579559fd4ecb7a6ad8061547111.jpg,train,Good,ND_GROUP_0001,train
bad_posture_20241021_145052_png.rf.ea493141ec32fb18b7bc3c7616db058a.jpg,train,Bad,ND_GROUP_0001,train
good_posture_20241021_142330_png.rf.ee893cf99d03ac67f71b40b3ec608328.jpg,train,Good,ND_GROUP_0001,train
image_20241007_210150_jpg.rf.eb00cdb45a29b5c2aae969e153b0fc51.jpg,train,Good,ND_GROUP_0019,train
bad_posture_20241021_143139_png.rf.ea1a53ed56f0282bc1fe25bad848457e.jpg,valid,Bad,ND_GROUP_0062,train
bad_posture_20241012_174037_png.rf.ed42a931d35ac793968ad39d77fa992c.jpg,test,Bad,ND_GROUP_0020,train
image_20241008_202735_jpg.rf.edb3da9c33fff3ad166ea9b6bd3cb8e4.jpg,test,Bad,ND_GROUP_0021,train
