image_id,split,class_id,class_name
ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b,train,4,thang
ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d,train,4,thang
ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9,train,4,thang
ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81,train,4,thang
ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195,train,4,thang
ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675,train,4,thang
ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d,train,4,thang
ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f,train,4,thang
ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa,train,4,thang
ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd,train,4,thang
ngaphai_mp4-0016_jpg.rf.f2a61b4f39deceddc32abb750f9c6d77,train,4,thang
ngaphai_mp4-0017_jpg.rf.79d8e82eb46a777a0ab9bc742e535edf,train,4,thang
ngaphai_mp4-0018_jpg.rf.ac1d383a2b06455e4125d7ddfe107c65,train,4,thang
ngaphai_mp4-0020_jpg.rf.24e49d08093b92fb982f8be86376acb9,train,4,thang
ngaphai_mp4-0021_jpg.rf.97d889d6d78e122f5e4877228186613a,train,4,thang
ngaphai_mp4-0023_jpg.rf.f0a7f2b86fcf73ab62e64e46bab3a5b9,train,4,thang
ngaphai_mp4-0025_jpg.rf.24ba027c5840cff463d11cf2bc43c7c6,train,4,thang
ngaphai_mp4-0026_jpg.rf.15c62d806aa0de58bcce387098cce8da,train,4,thang
ngaphai_mp4-0027_jpg.rf.39e3a225ac1ff319702c7bc5783067b6,train,4,thang
ngaphai_mp4-0028_jpg.rf.b301221808da33a5cbcc811b80c5d403,train,4,thang
ngaphai_mp4-0030_jpg.rf.1da827689a12b14e78d5712c60323648,train,4,thang
ngaphai_mp4-0031_jpg.rf.8ddeb3d4189b631815de0ba912e15072,train,4,thang
ngaphai_mp4-0032_jpg.rf.927abdefceceb2681a695bc60ac36144,train,4,thang
