image_id,final_label,original_label,decision,filename
IMG00001,leaning_backward,leaning_backward,KEEP,extract0001_jpg.rf.a1332939a94147508e6c3b1eefdacdfe.jpg
IMG00003,leaning_backward,leaning_backward,KEEP,extract0005_jpg.rf.b03d4d44d87b4673ecac12fd1e67e1f6.jpg
IMG00004,leaning_backward,leaning_backward,KEEP,extract0006_jpg.rf.bb14f80d3ed5120d553b720e9fe580a0.jpg
IMG00005,leaning_backward,leaning_backward,KEEP,extract0011_jpg.rf.92d86a7e71a3d849dd3b8635f41189dd.jpg
IMG00006,leaning_backward,leaning_backward,KEEP,extract0013_jpg.rf.64b52fb73c5e806771df0b27184fec9c.jpg
IMG00007,leaning_backward,leaning_backward,KEEP,extract0013_jpg.rf.ab91529194bb5f6acb33be8bb4eae67c.jpg
IMG00011,leaning_backward,leaning_backward,KEEP,extract0608_jpg.rf.deac4b3adfc307ba257a188a5d856676.jpg
IMG00019,leaning_backward,leaning_backward,KEEP,extract2314_jpg.rf.5de2fbe76ab6a0b61ca755b44fe6680f.jpg
IMG00021,leaning_backward,leaning_backward,KEEP,extract2317_jpg.rf.1108843af13f5a3f48e57db881b346f1.jpg
IMG00023,leaning_backward,leaning_backward,KEEP,extract2337_jpg.rf.252b286b6a53e82bd5299eff3e97ea23.jpg
IMG00028,leaning_backward,leaning_backward,KEEP,extract2363_jpg.rf.341137ff33ff013450b0e3b679dfbf1f.jpg
IMG00053,leaning_backward,leaning_backward,KEEP,mb0219_jpg.rf.9b413f3d760ce989eb6c8018ae6d43d4.jpg
IMG00055,leaning_backward,leaning_backward,KEEP,mb0285_jpg.rf.4ea80556bc3d646fc74391d1eda67a77.jpg
IMG00057,leaning_backward,leaning_backward,KEEP,mb0371_jpg.rf.d26caadf4d3f3f32f674383d34795a78.jpg
IMG00058,leaning_backward,leaning_backward,KEEP,mb0405_jpg.rf.f777db56432c1cc36b196293f2c5fdca.jpg
IMG00059,leaning_backward,leaning_backward,KEEP,mb0433_jpg.rf.07c2202b4f00a9d43a6492d604200bfc.jpg
IMG00060,leaning_backward,leaning_backward,KEEP,mb0456_jpg.rf.9147061b86c1d46198cc1a428a872eed.jpg
IMG00063,leaning_backward,leaning_backward,KEEP,mb0511_jpg.rf.cd9d457b02d9ca4a24a2b0ca3a647461.jpg
IMG00064,leaning_backward,leaning_backward,KEEP,mb0512_jpg.rf.e6639760c6969746ea587a68e30cddd1.jpg
IMG00066,leaning_backward,leaning_backward,KEEP,mb20221_jpg.rf.957d88a339622d8fd57ba681ef87461e.jpg
IMG00070,leaning_backward,leaning_backward,KEEP,mb20266_jpg.rf.ef6426be07024ca479991fb118fbd7f2.jpg
IMG00072,leaning_backward,leaning_backward,KEEP,mb20292_jpg.rf.94fdb17c070ed9adfa3bd1c32b3e1868.jpg
IMG00073,leaning_forward,leaning_forward,KEEP,2023-11-21-031524_jpg.rf.0a17e7726a30ebc4f93b9a510443399c.jpg
IMG00074,leaning_forward,leaning_forward,KEEP,2023-11-21-031524_jpg.rf.6d51736ae46cd3ef37dd0f82de885ed0.jpg
IMG00075,leaning_forward,leaning_forward,KEEP,2023-11-21-031524_jpg.rf.b2f768337139388a70d2e117841b745d.jpg
IMG00077,leaning_forward,leaning_forward,KEEP,2023-11-21-031605_jpg.rf.9461d31bc9416f19e555bd233447a72c.jpg
IMG00079,leaning_forward,leaning_forward,KEEP,2023-11-21-031658_jpg.rf.4dd0b9c792d6d770c81e552e309c763e.jpg
IMG00081,leaning_forward,leaning_forward,KEEP,2023-11-21-031658_jpg.rf.b864a1bfcf169ab5d90f6d1a4772e1d7.jpg
IMG00083,leaning_forward,leaning_forward,KEEP,extract0001_jpg.rf.cf16824f4a0dac0f1fa84d88d8d7a3f2.jpg
IMG00084,leaning_forward,leaning_forward,KEEP,extract0001_jpg.rf.d8cb84d7ec7e08f3962f60444148af0c.jpg
IMG00086,leaning_forward,leaning_forward,KEEP,extract0002_jpg.rf.27bfae47d117b29927efeac2bad2e5fd.jpg
IMG00090,leaning_forward,leaning_forward,KEEP,extract0003_jpg.rf.31a7a88936258eaa8e261dd3c5c2027c.jpg
IMG00091,leaning_forward,leaning_forward,KEEP,extract0003_jpg.rf.6148914f9d9e2539bce17ce14bcb90a5.jpg
IMG00092,leaning_forward,leaning_forward,KEEP,extract0003_jpg.rf.f7c914462723b41bb445b3119be13190.jpg
IMG00093,leaning_forward,leaning_forward,KEEP,extract0003_jpg.rf.fbd4d9643038a86aea0ef233be985f85.jpg
IMG00095,leaning_forward,leaning_forward,KEEP,extract0004_jpg.rf.a1f4d4c42ee54282a00131472462b935.jpg
IMG00097,leaning_forward,leaning_forward,KEEP,extract0004_jpg.rf.f74fba1a6c16e00c45f977b7d3f3717b.jpg
IMG00099,leaning_forward,leaning_forward,KEEP,extract0005_jpg.rf.280e9d8a1088c1d2518fbbe92bd73a27.jpg
IMG00100,leaning_forward,leaning_forward,KEEP,extract0005_jpg.rf.d10a8df2f2b7c4f25eb227be37b215bb.jpg
IMG00101,leaning_forward,leaning_forward,KEEP,extract0005_jpg.rf.f38224fdc93e8b04bbe8295727e6b919.jpg
IMG00102,leaning_forward,leaning_forward,KEEP,extract0006_jpg.rf.701809f374720429cd458c272f5a3f1f.jpg
IMG00103,leaning_forward,leaning_forward,KEEP,extract0006_jpg.rf.973423e411ab2903bf701af0627f809f.jpg
IMG00104,leaning_forward,leaning_forward,KEEP,extract0006_jpg.rf.ae474a861f5fbb89b90e5c5a4d50a955.jpg
IMG00106,leaning_forward,leaning_forward,KEEP,extract0007_jpg.rf.30e69704582633c287e3eb9041e6e30b.jpg
IMG00108,leaning_forward,leaning_forward,KEEP,extract0007_jpg.rf.497c8dc5f241e1106ae39e2c5ca4b1aa.jpg
IMG00109,leaning_forward,leaning_forward,KEEP,extract0007_jpg.rf.fc399dd95c6a49fc092b2656c7166e01.jpg
IMG00110,leaning_forward,leaning_forward,KEEP,extract0008_jpg.rf.43cfab8e7dc5d8f0139e575684819daa.jpg
IMG00112,leaning_forward,leaning_forward,KEEP,extract0008_jpg.rf.efd87d3499782cdc652f220627e63405.jpg
IMG00113,leaning_forward,leaning_forward,KEEP,extract0009_jpg.rf.2bf6c5594187df37132b826d743bb883.jpg
IMG00114,leaning_forward,leaning_forward,KEEP,extract0009_jpg.rf.92128b89c296f6b081af5e5780a611b3.jpg
IMG00115,leaning_forward,leaning_forward,KEEP,extract0009_jpg.rf.b3262f96ab598b5bb56b4f42055689d3.jpg
IMG00116,leaning_forward,leaning_forward,KEEP,extract0010_jpg.rf.03f47cf91bb5ad3d931964086b3a5b23.jpg
IMG00117,leaning_forward,leaning_forward,KEEP,extract0010_jpg.rf.3cdac53d59015a6c7b2cbfc89fe3124f.jpg
IMG00118,leaning_forward,leaning_forward,KEEP,extract0010_jpg.rf.8eb1234b63f03997b3afadc6dea09230.jpg
IMG00121,leaning_forward,leaning_forward,KEEP,extract0011_jpg.rf.cbc92c344be0106265813e9dfe844641.jpg
IMG00122,leaning_forward,leaning_forward,KEEP,extract0011_jpg.rf.fa96be3dfc83cecb47562006e60b5a86.jpg
IMG00124,leaning_forward,leaning_forward,KEEP,extract0012_jpg.rf.899d5cc64aa1976c1b1546f835c3663a.jpg
IMG00127,leaning_forward,leaning_forward,KEEP,extract0018_jpg.rf.0750582dcc6d0719e6b8e5f775feae46.jpg
IMG00128,leaning_forward,leaning_forward,KEEP,extract0018_jpg.rf.46867510930da907262def29d72fc523.jpg
IMG00129,leaning_forward,leaning_forward,KEEP,extract0019_jpg.rf.4abe65f192bb87114e9f8297122f90da.jpg
IMG00130,leaning_forward,leaning_forward,KEEP,extract0019_jpg.rf.b766c66bb67dd90a996b8cdf23f5a46b.jpg
IMG00131,leaning_forward,leaning_forward,KEEP,extract0020_jpg.rf.48de0d0fca8827df1c0d71194d78d32f.jpg
IMG00132,leaning_forward,leaning_forward,KEEP,extract0020_jpg.rf.d6604e2f770c1696401053070b276269.jpg
IMG00133,leaning_forward,leaning_forward,KEEP,extract0021_jpg.rf.864c6c9a1ed379cd7af62c77b7a9125c.jpg
IMG00134,leaning_forward,leaning_forward,KEEP,extract0021_jpg.rf.93efd9fa5bfa0d6f6b34b9b5b9eaaa99.jpg
IMG00136,leaning_forward,leaning_forward,KEEP,extract0022_jpg.rf.a7b918ddb8a9bd118054096261207d87.jpg
IMG00138,leaning_forward,leaning_forward,KEEP,extract0023_jpg.rf.7ce396b4676d345fa997fe23f5cb8a6a.jpg
IMG00139,leaning_forward,leaning_forward,KEEP,extract0023_jpg.rf.9696bba1199e2f0446c409cb822868df.jpg
IMG00140,leaning_forward,leaning_forward,KEEP,extract0024_jpg.rf.38ae5d385d5a17369406ec0ca34ae249.jpg
IMG00141,leaning_forward,leaning_forward,KEEP,extract0025_jpg.rf.05ea716581fe20a2e0f38257dbfa2982.jpg
IMG00142,leaning_forward,leaning_forward,KEEP,extract0026_jpg.rf.9b7c0a1d8095b20e05e00ece4542a1b3.jpg
IMG00143,leaning_forward,leaning_forward,KEEP,extract0027_jpg.rf.b1c63fb57593d522b8349ebebf296f04.jpg
IMG00145,leaning_forward,leaning_forward,KEEP,extract0032_jpg.rf.ae303e585575209f5732d623cd591220.jpg
IMG00146,leaning_forward,leaning_forward,KEEP,extract0033_jpg.rf.b296c477e5f067ab52cab8226e6f2334.jpg
IMG00147,leaning_forward,leaning_forward,KEEP,extract0034_jpg.rf.ecae8c5776af438dd339e2495e9c8964.jpg
IMG00154,leaning_forward,leaning_forward,KEEP,extract0041_jpg.rf.5c8f75ac7165a82acce704ad6e266f29.jpg
IMG00157,leaning_forward,leaning_forward,KEEP,extract0044_jpg.rf.3b76a417ecbe30ebbd7a5e4720c9558b.jpg
IMG00165,leaning_forward,leaning_forward,KEEP,extract0052_jpg.rf.75605433e43082bf23f79655a9efaa0a.jpg
IMG00167,leaning_forward,leaning_forward,KEEP,extract0054_jpg.rf.1c1a15251d4659af6a379a26dc257771.jpg
IMG00178,leaning_forward,leaning_forward,KEEP,extract0066_jpg.rf.2b38802e66ae2e74c53a14861b4e5a23.jpg
IMG00184,leaning_forward,leaning_forward,KEEP,extract0072_jpg.rf.b0f6d954741179bbe2122c14096ac8e2.jpg
IMG00196,leaning_forward,leaning_forward,KEEP,extract0084_jpg.rf.b5b6ada2a3abdeaa30c58f3e70cef345.jpg
IMG00222,leaning_forward,leaning_forward,KEEP,extract0110_jpg.rf.41cb01a421c6f8ad83822817c42a0ed1.jpg
IMG00228,leaning_forward,leaning_forward,KEEP,extract0116_jpg.rf.f10f502b45ce6fab24bb9bd58ac942fa.jpg
IMG00229,leaning_forward,leaning_forward,KEEP,extract0117_jpg.rf.aedfdea6bd1781e0fca8a9338e17578d.jpg
IMG00231,leaning_forward,leaning_forward,KEEP,extract0119_jpg.rf.f912689b52d66785878651cd9e0fec1a.jpg
IMG00233,leaning_forward,leaning_forward,KEEP,extract0121_jpg.rf.5c631de71eaa7fd5830c94fce306dd59.jpg
IMG00234,leaning_forward,leaning_forward,KEEP,extract0122_jpg.rf.6cd7c82c63c16ada38b0fdbe2c011fab.jpg
IMG00248,leaning_forward,leaning_forward,KEEP,extract0234_jpg.rf.6fe8fd1f022bbe12b8af059cf8f35e0a.jpg
IMG00250,leaning_forward,leaning_forward,KEEP,extract0236_jpg.rf.ac280447e35b7c3783ccd53588099294.jpg
IMG00263,leaning_forward,leaning_forward,KEEP,extract1638_jpg.rf.7e96501c2e437396537fe4c095649179.jpg
IMG00264,leaning_forward,leaning_forward,KEEP,extract1666_jpg.rf.758e64997c9222b407749f35a1e52e0e.jpg
IMG00265,leaning_forward,leaning_forward,KEEP,extract1674_jpg.rf.1447762bb592977f97e1e864f8e61a70.jpg
IMG00266,leaning_forward,leaning_forward,KEEP,extract1690_jpg.rf.1b45ed28b0af5505daa60d03df0e483d.jpg
IMG00282,leaning_forward,leaning_forward,KEEP,extract2135_jpg.rf.84d8a685dde027b89c3273bb7ae777d7.jpg
IMG00334,leaning_forward,leaning_forward,KEEP,extract2214_jpg.rf.3e07242b9ef82ad70ed75d7ab2b0e432.jpg
IMG00356,leaning_forward,leaning_forward,KEEP,extract2236_jpg.rf.632c7cdb9f25040a342df89988b1d2a1.jpg
IMG00360,leaning_forward,leaning_forward,KEEP,extract2240_jpg.rf.2d1fa32513aeb4c415d3c775bc6653e3.jpg
IMG00361,leaning_forward,leaning_forward,KEEP,extract2241_jpg.rf.1791a6d018ee07fd31f9eb756896c70c.jpg
IMG00363,leaning_forward,leaning_forward,KEEP,extract2243_jpg.rf.a4cc40bb6f7774d4993150a29e266dcd.jpg
IMG00376,leaning_forward,leaning_forward,KEEP,extract2256_jpg.rf.d4941c508e8cb38e66c9510fd765373c.jpg
IMG00384,leaning_forward,leaning_forward,KEEP,extract2264_jpg.rf.a8e0202b0f2cebd1a544e076259ba3b2.jpg
