split,filename,image_path,label_path,source_clip,frame_hint,class_id,class_name
train,ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b.txt,ngaphai_mp4,0000,4,thang
train,ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d.txt,ngaphai_mp4,0002,4,thang
train,ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9.txt,ngaphai_mp4,0003,4,thang
train,ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81.txt,ngaphai_mp4,0005,4,thang
train,ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195.txt,ngaphai_mp4,0007,4,thang
train,ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675.txt,ngaphai_mp4,0008,4,thang
train,ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d.txt,ngaphai_mp4,0011,4,thang
train,ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f.txt,ngaphai_mp4,0012,4,thang
train,ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa.txt,ngaphai_mp4,0014,4,thang
train,ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd.txt,ngaphai_mp4,0015,4,thang
train,ngaphai_mp4-0016_jpg.rf.f2a61b4f39deceddc32abb750f9c6d77.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0016_jpg.rf.f2a61b4f39deceddc32abb750f9c6d77.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0016_jpg.rf.f2a61b4f39deceddc32abb750f9c6d77.txt,ngaphai_mp4,0016,4,thang
