image_id,original_split,class_name,nd_group,img_width,img_height,bbox_x,bbox_y,bbox_w,bbox_h,bottom_x,bottom_y,bottom_vis,shoulder_x,shoulder_y,shoulder_vis,head_x,head_y,head_vis,back_x,back_y,back_vis,split
bad_posture_20241021_142856_png.rf.d63238b8aa0715cda8e88f5ecaef0e2f.jpg,train,Bad,ND_GROUP_0001,640,640,0.159375,0.265625,0.4953125,0.628125,0.361034,0.84755,2,0.358655,0.519184,2,0.499108,0.385339,2,0.21875,0.573438,2,train
good_posture_20241013_222712_png.rf.d4260da6ca2e54e87b93742653249b2b.jpg,train,Good,ND_GROUP_0008,640,640,0.24375,0.0234375,0.3984375,0.753125,0.375317,0.642322,2,0.368177,0.255064,2,0.451495,0.096236,2,0.28125,0.373437,2,train
bad_posture_20241013_225750_png.rf.daa920390fdfc539db263e20cfef43ef.jpg,train,Bad,ND_GROUP_0000,640,640,0.1609375,0.0609375,0.56171875,0.69375,0.370556,0.660167,2,0.349131,0.296109,2,0.530055,0.196172,2,0.2125,0.396875,2,train
bad_posture_20241021_142448_png.rf.d33dd9f9f893e9afb7e761de880c9371.jpg,train,Bad,ND_GROUP_0001,640,640,0.25,0.3359375,0.59453125,0.55703125,0.401505,0.835058,2,0.549098,0.513831,2,0.68717,0.42817,2,0.354167,0.53125,2,train
bad_posture_20241013_225714_png.rf.d2c1738f716f13eb44311e3ea1d89477.jpg,train,Bad,ND_GROUP_0002,640,640,0.203125,0.059375,0.5984375,0.6859375,0.339609,0.672659,2,0.480063,0.287188,2,0.582427,0.176542,2,0.352083,0.346875,2,test
image_20241008_203730_jpg.rf.db22bb8d251335e4b0098ff677b77b70.jpg,train,Bad,ND_GROUP_0048,640,640,0.00625,0.1359375,0.6234375,0.75546875,0.268192,0.808067,2,0.151545,0.419025,2,0.284856,0.253058,2,0.029167,0.51875,2,valid
good_posture_20241021_141536_png.rf.d3f0e943b02c7be763e6cf54d93d567f.jpg,train,Good,ND_GROUP_0003,640,640,0.2171875,0.159375,0.39296875,0.75859375,0.365795,0.829703,2,0.353892,0.479923,2,0.406266,0.301464,2,0.260417,0.546875,2,train
good_posture_20241013_225734_png.rf.d9808e2e835c5aa353fe9631a6258afb.jpg,train,Good,ND_GROUP_0059,640,640,0.15,0.0,0.5375,0.74375,0.284856,0.676228,2,0.275334,0.271125,2,0.318184,0.099805,2,0.1875,0.348438,2,test
good_posture_20241021_141341_png.rf.d8f8602154db4e80d92f4cd2f119a846.jpg,train,Good,ND_GROUP_0003,640,640,0.203125,0.1765625,0.4390625,0.73359375,0.334848,0.843981,2,0.33723,0.465647,2,0.389602,0.303248,2,0.254167,0.5375,2,train
bad_posture_20241021_143008_png.rf.d9c1ef0798864f8bfa499de7693cc403.jpg,train,Bad,ND_GROUP_0001,640,640,0.1703125,0.284375,0.55703125,0.6671875,0.323242,0.849334,2,0.358952,0.501339,2,0.513687,0.415678,2,0.197917,0.570312,2,train
good_posture_20241021_142342_png.rf.d7977438f1a429a0c4f3e34cd03074e1.jpg,train,Good,ND_GROUP_0001,640,640,0.2828125,0.19375,0.45,0.7265625,0.406266,0.85625,2,0.401505,0.454717,2,0.477681,0.306595,2,0.308333,0.592187,2,train
good_posture_20241021_144124_png.rf.d1fc5160ed82325c329aaaf90ef09fd4.jpg,train,Good,ND_GROUP_0046,640,640,0.21875,0.1609375,0.45,0.721875,0.349131,0.818997,2,0.334848,0.454939,2,0.368177,0.308602,2,0.272917,0.55625,2,train
bad_posture_20241021_142856_png.rf.d4683811d3b2e345171fee3e044ee2f0.jpg,train,Bad,ND_GROUP_0001,640,640,0.159375,0.265625,0.4953125,0.628125,0.361034,0.84755,2,0.358655,0.519184,2,0.499108,0.385339,2,0.21875,0.573438,2,train
image_20241008_200913_jpg.rf.d5692304206ef908694a131f59cd4ce7.jpg,train,Bad,ND_GROUP_0004,640,640,0.1015625,0.1328125,0.54453125,0.728125,0.330087,0.779736,2,0.232484,0.376417,2,0.370556,0.251495,2,0.129167,0.520312,2,test
