capture_id,label,status_3d,reason,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,shoulder_roll_deg,hip_roll_deg,torso_3d_inclination_deg,head_torso_angle_3d_deg,head_depth_offset_norm,head_lateral_offset_norm,shoulder_depth_asymmetry_norm
CAP000001,upright,USABLE,,,,,-0.20862463310683216,0.9779952934734449,-0.0009840756221515148,0.20862463310683227,0.9121804702383699,0.0009840756221514363,-0.12270076379714709,0.019407275590950897,-3.503359945854796e-18,0.12270076379714709,-0.019407275590950904,1.0988548318823377e-17,-8.963698141065219,-8.987875160686672,0.0,,,,0.001968151244302951
CAP000002,upright,USABLE,,,,,-0.20599478006317246,0.9785503688400072,-0.002307862606648656,0.20599478006317246,0.9201322275887127,0.0023078626066486644,-0.12245031522072472,0.01873082809845963,9.823916855073207e-17,0.12245031522072458,-0.01873082809845959,9.971913163989431e-17,-8.07046545001014,-8.696935250722692,0.0,,,,0.00461572521329732
CAP000003,upright,USABLE,,,,,-0.208926247806257,0.977930877957249,-0.0010104035643302295,0.2089262478062568,0.9115692240913209,0.0010104035643302232,-0.12321587657748613,0.02037069752248811,-8.992412990937742e-17,0.12321587657748627,-0.020370697522488157,-1.0041618844206351e-16,-9.02411875628127,-9.387526567338107,0.0,,,,0.0020208071286604524
CAP000004,upright,USABLE,,,,,-0.2074122425781693,0.9782516559452078,-0.001964502266125724,0.20741224257816943,0.9092707102892239,0.001964502266125683,-0.12149029318466933,0.02108650977578053,6.234602089838767e-18,0.12149029318466939,-0.021086509775780426,8.754316149692713e-18,-9.441293499910737,-9.84647135570894,0.0,,,,0.003929004532251407
CAP000005,upright,USABLE,,,,,-0.20926671660096738,0.9778582157974436,-0.0008666720778556183,0.2092667166009676,0.9067227227997738,0.0008666720778554272,-0.1238813199598764,0.021419501232977017,-1.0444506344214968e-16,0.12388131995987647,-0.021419501232977166,-1.147775411563451e-16,-9.646024167822421,-9.809647295504934,0.0,,,,0.0017333441557110456
CAP000006,leaning_forward,USABLE,,0.11017859403519825,0.9824081870103398,-0.1507807398558718,-0.16266740542660332,0.7272041812267427,0.0010731301626731536,0.16266740542660318,0.6379810477495612,-0.0010731301626729572,-0.09482184787416749,0.014506602056711207,-6.73025026317171e-17,0.09482184787416759,-0.014506602056711221,-7.421747606063459e-17,-15.336303110583328,-8.698122674183367,0.0,31.91755432281035,-0.1507807398558719,0.11017859403519832,-0.002146260325346111
CAP000007,leaning_forward,USABLE,,0.10911307652529934,0.9829881778748227,-0.1477449785594088,-0.16039210840913926,0.7247479545081247,0.0002945126853790355,0.16039210840913948,0.6399287992425846,-0.00029451268537917266,-0.0935495004998866,0.014063279351266833,-7.398637595469333e-17,0.09354950049988671,-0.014063279351266849,-6.866153672652224e-17,-14.810736335104503,-8.549246044513552,0.0,31.421018168570807,-0.14774497855940874,0.10911307652529922,-0.0005890253707582082
CAP000008,leaning_forward,USABLE,,0.09717763864705656,0.9847390553742679,-0.1443797055253148,-0.16202933237395292,0.7298296694811129,0.002095074337578205,0.1620293323739529,0.6483472639474542,-0.0020950743375781388,-0.0938315587053808,0.012595196793340969,-6.821253802605493e-18,0.0938315587053808,-0.012595196793340964,1.2106729037667387e-18,-14.114051821158494,-7.645227225390789,0.0,30.483570443324254,-0.14437970552531482,0.09717763864705657,-0.0041901486751563435
CAP000009,leaning_forward,USABLE,,0.09642194600741755,0.9844727959715092,-0.14668374933912007,-0.16215194984867168,0.7320900867630464,0.0025776265876610595,0.1621519498486718,0.6498613237705038,-0.002577626587660995,-0.09305619987210076,0.012924236059153894,5.9117633340654125e-18,0.09305619987210081,-0.012924236059153826,2.2267480308065616e-17,-14.22776882929074,-7.907020057165408,0.0,30.883155776270655,-0.1466837493391201,0.09642194600741749,-0.005155253175322054
CAP000010,leaning_forward,USABLE,,0.09881592423304413,0.983795031081615,-0.14960865595644363,-0.1621896728300276,0.7307881910224953,0.0027611454195216713,0.16218967283002816,0.6495128262782478,-0.0027611454195216544,-0.09311118895538072,0.013150120495249325,-7.059307871815725e-17,0.09311118895538081,-0.013150120495249343,-7.49279502090601e-17,-14.066250908628605,-8.038734222067347,0.0,31.407874986301916,-0.14960865595644363,0.09881592423304385,-0.005522290839043325
